id,Temperature,C ,N ,O ,CO2,Growth Rate,,,,,,,,,,,,,,,
E. Coli,37,nan,nan,nan,0.5,0.064,,,,,,,,,,,,,,,
E.Coli,37,nan,nan,nan,49.4,0.055,,,,,,,,,,,,,,,
E coli,35,nan,nan,nan,nan,0.9,,,,,,,,,,,,,,,
E coli,30,nan,nan,nan,29.2,0.6,,,,,,,,,,,,,,,
E coli,25,nan,nan,nan,nan,0.4,,,,,,,,,,,,,,,
E coli,20,nan,nan,nan,nan,0.28,,,,,,,,,,,,,,,
E coli,15,nan,nan,nan,nan,0.15,,,,,,,,,,,,,,,
E coli,10,nan,nan,nan,42.8,0.03,,,,,,,,,,,,,,,
E coli,35,nan,nan,nan,nan,0.9,,,,,,,,,,,,,,,
E coli,30,nan,nan,nan,33.2,0.7,,,,,,,,,,,,,,,
E coli,25,nan,nan,nan,nan,0.5,,,,,,,,,,,,,,,
E coli,20,nan,nan,nan,nan,0.25,,,,,,,,,,,,,,,Source
E coli,15,nan,nan,nan,nan,0.15,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0022030203737801#fig1
E coli,10,nan,nan,nan,38.2,0.03,,,,,,,,,,,,,,,https://www.pnas.org/content/107/44/18755
E coli,37,nan,nan,35,nan,0.125,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0927776502001431?via%3Dihub
E coli,37,nan,nan,45,nan,0.07,,,,,,,,,,,,,,,https://link.springer.com/content/pdf/10.1023/A:1000198404007.pdf
E coli,37,nan,nan,55,nan,0.05,,,,,,,,,,,,,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.0014-3820.2001.tb00606.x
E coli,37,nan,nan,43,nan,0.12,,,,,,,,,,,,,,,https://jb.asm.org/content/jb/98/1/232.full.pdf
E coli,37,nan,nan,35,nan,0.06,,,,,,,,,,,,,,,https://jb.asm.org/content/jb/123/2/407.full.pdf
E coli,37,nan,nan,35,nan,0.08,,,,,,,,,,,,,,,https://jb.asm.org/content/jb/123/3/1076.full.pdf
E coli,37,nan,nan,31,nan,0.075,,,,,,,,,,,,,,,https://jb.asm.org/content/jb/144/1/114.full.pdf
E coli,37,nan,nan,30,nan,0.075,,,,,,,,,,,,,,,https://www.int-res.com/articles/ame/10/a010p015.pdf
E coli,37,nan,nan,28,nan,0.06,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0022030203737801
E coli,37,nan,nan,25,nan,0.075,,,,,,,,,,,,,,,https://www.nature.com/articles/nbt1103-1266
E coli,37,nan,nan,21,nan,0.05,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC94900/
E coli,37,nan,nan,21,nan,0.075,,,,,,,,,,,,,,,https://jb.asm.org/content/jb/178/15/4530.full.pdf
E coli,37,nan,nan,21,nan,0.073,,,,,,,,,,,,,,,
E coli,37,nan,nan,19,nan,0.04,,,,,,,,,,,,,,,
E coli,37,nan,nan,19,nan,0.06,,,,,,,,,,,,,,,
E coli,37,nan,nan,20,nan,0.05,,,,,,,,,,,,,,,
E coli,37,nan,nan,15,nan,0.05,,,,,,,,,,,,,,,
E coli,37,nan,nan,14,nan,0.06,,,,,,,,,,,,,,,
E coli,37,nan,nan,10,nan,0.05,,,,,,,,,,,,,,,
E coli,37,nan,nan,10,nan,0.04,,,,,,,,,,,,,,,
E coli,37,nan,nan,10,nan,0.06,,,,,,,,,,,,,,,
E coli,37,nan,nan,5,nan,0.025,,,,,,,,,,,,,,,
E coli,37,nan,nan,6,nan,0.025,,,,,,,,,,,,,,,
E coli,37,nan,nan,8,nan,0.024,,,,,,,,,,,,,,,
E coli,37,nan,nan,4,nan,0.024,,,,,,,,,,,,,,,
E coli,37,nan,nan,3,nan,0.023,,,,,,,,,,,,,,,
E coli,37,5,1,,nan,0.67,,,,,,,,,,,,,,,
E coli,37,30,1,,nan,0.31,,,,,,,,,,,,,,,
E coli,37,1,1.5,,nan,0.21,,,,,,,,,,,,,,,
E coli,37,5,1,,nan,0.44,,,,,,,,,,,,,,,
E coli,37,30,1,,nan,0.27,,,,,,,,,,,,,,,
E coli,37,1,1.5,,nan,0.23,,,,,,,,,,,,,,,
E coli,37,5,1,,nan,0.5,,,,,,,,,,,,,,,
E coli,37,30,1,,nan,0.27,,,,,,,,,,,,,,,
E coli,37,1,1.5,,nan,0.17,,,,,,,,,,,,,,,
E coli,37,5,1,,nan,0.33,,,,,,,,,,,,,,,
E coli,37,30,1,,nan,0.3,,,,,,,,,,,,,,,
E coli,37,1,1.5,,nan,0.28,,,,,,,,,,,,,,,
E coli,37,5,1,,nan,0.3,,,,,,,,,,,,,,,
E coli,37,30,1,,nan,0.27,,,,,,,,,,,,,,,
E coli,37,1,1.5,,nan,0.27,,,,,,,,,,,,,,,
E coli,37,5,1,,nan,0.28,,,,,,,,,,,,,,,
E coli,37,30,1,,nan,0.22,,,,,,,,,,,,,,,
E coli,37,1,1.5,,nan,0.19,,,,,,,,,,,,,,,
Pseudomonas fluorescens,15,nan,nan,nan,0.4,0.112,,,,,,,,,,,,,,,
Pseudomonas fluorescens,15,nan,nan,nan,11.2,0.128,,,,,,,,,,,,,,,
